	Tr1_1	Tr1_2	Tr2_1	Tr2_2	Tr3_1	Tr3_2	Tr4_1	Tr4_2
Gene1	9.627600557	10.51873946	9.550503185	9.564433514	9.347314272	9.549291133	9.576587516	9.272243719
Gene2	6.204885642	6.178216241	5.933768408	5.879838874	5.586512814	6.172526855	5.379681837	5.92837611
Gene3	5.126886658	5.607910617	5.382697403	5.39702434	5.251539077	5.31742537	5.08991315	5.160303035
Gene4	8.700294333	8.28495321	7.969140058	8.418668576	7.880962292	8.484055154	8.124044627	7.575970073
Gene5	5.909355808	5.449586995	5.548480154	6.237523112	6.180839967	5.788190452	5.630821888	5.977816388
Gene6	10.76450038	11.99001801	10.70877424	11.17427235	10.74778283	10.57113705	10.4800688	9.908911296
Gene7	8.954453889	9.228633989	8.734557062	8.954147022	9.01693217	8.689911226	9.048114633	8.776273336
Gene8	11.84321443	11.1991688	12.24515127	11.98152181	12.13465374	11.66722324	12.30208612	12.20280045
Gene9	4.570273991	4.17641352	5.019004924	4.70169727	5.251539077	4.17641352	5.414622608	4.984797816
Gene10	6.001220309	6.223010247	5.838954009	5.690531232	5.665335516	5.888283125	5.858152616	6.048426035
Gene11	9.559194859	9.304090494	9.397442476	9.681244616	9.529517156	9.56979949	9.388506783	9.492618477
Gene12	8.093645093	8.826051429	8.41133878	8.67452155	8.76866094	8.479235285	8.336646269	8.555253444
Gene13	7.816696194	7.898625384	7.977277006	8.153006329	8.11281517	7.868455944	8.132667557	8.055670727
Gene14	6.505768259	6.463432307	6.846742016	6.655043403	7.167004294	6.882212141	7.062268906	7.030989942
Gene15	8.057220184	7.578061578	8.381063435	8.290118067	8.274541587	8.299447222	8.619898216	8.680311346
Gene16	11.40314515	10.4429207	11.16856769	11.20174913	11.46929841	11.56486087	11.383533	11.22580602
Gene17	5.564852982	5.360271013	5.778194452	5.715963699	5.501504075	5.716349085	5.834987383	5.611762746
Gene18	8.757264702	8.950323779	8.529192197	8.67452155	8.647562886	8.681548367	8.481883219	8.659631285
